number_of_bids_or_proposals_received_prior_to_award_of_contract,explain_why_the_fair_market_value_is_less_than_the_contract_amount,postal_code,amount_expended_for_fiscal_year,city,address_line1,begin_date,procurement_description,address_line2,transaction_number,state,vendor_number,type_of_procurement,renewal_date,number_of_bids_and_proposal_received_from_mwbe_firms,page_number,amount_expended_for_life_to_date,status,award_date,end_date,province_region,fair_market_value,exemption_from_the_publication_requirements_of_article_4c_of_the_economic-development_law?,current_or_outstanding_balance,award_process,plus_4,"if_yes,_basis_for_exemption",country,is_the_vendor_a_minority_or_woman-owned_business_enterprise?,amount,does_the_contract_have_an_end_date,is_the_vendor_a_nys_or_foreign_business_enterprise?,vendor_name,were_mwbe_firms_solicited_as_part_of_this_procurement_proces
,,10028,63800,NEW YORK,c/o Paley Management Corp. 221 East 8,03/15/2013,Vacate Agreement associated with Condemnation,,,NY,2,Other,,,2,63800,OPEN,03/15/2013,,,63800,,40600,Authority Contract - Non-Competitive Bid,,,USA,No,63800,No,,1322 Realty Equities LLC,No
,,11735,3252681.65,FARMINGDALE,8300 Republic Airport Ste 200,08/28/2013,Vacate Agreement associated with Condemnation,,,NY,3,Other,,,3,3252681.65,OPEN,11/09/2012,,,3252681.65,,525847.47,Authority Contract - Non-Competitive Bid,,,USA,No,3252681.65,No,,1628 SECOND AVENUE RETAIL LLC,No
19,,11231,150,BROOKLYN,278 VAN BRUNT STREET,01/01/2011,Routine Preventative Maintenan,,10051-0300,NY,4,Other,,,4,420,OPEN,12/22/2010,12/31/2013,,,No,2580,Authority Contract - Competitive Bid,,,USA,No,3000,Yes,NYS,1811 AUTO REPAIR,No
38,,08550,0,PRINCETON JCT,186 PRINCETON-HIGHTSTOWN ROAD,01/01/2011,IT CONSULTING SERVICES,,11120-0100,NJ,5,Staffing Services,,3,5,0,OPEN,01/01/2011,12/30/2015,,,Yes,0,Authority Contract - Competitive Bid,,Ride/Piggyback of MTA Ags,USA,No,0,Yes,Foreign,22ND CENTURY TECHNOLOGIES INC,Yes
,,11050,34946.66,PORT WASHINGTON,26 HARBOR PARK DRIVE,10/31/2013,Vacate Agreement associated with Condemnation,,,NY,6,Other,,,6,34946.66,OPEN,10/31/2013,,,34946.66,,384413.26,Authority Contract - Non-Competitive Bid,,,USA,No,34946.66,No,,301 E 69th Parking LLC,No
4,,11590,4554.78,WESTBURY,110 SWALM STREET,08/10/2012,6.00E+23 REPAIR OF MOTORSPUMPS FOR NYCT BUSESMTA BUSESLI BUSES,,,NY,7,Design and Construction/Maintenance,,0,7,4554.78,OPEN,08/09/2012,08/09/2015,,,No,156945.22,Authority Contract - Competitive Bid,,,USA,No,161500,Yes,NYS,3D INDUSTRIAL SALES AND SERVICE INC.,Yes
,,10018,0,NEW YORK,70 WEST 36TH STREET,,AS NEEDED COMPUTER CONSULTS,SUITE 702,C908270-2000,NY,8,Consulting Services,,,8,,OPEN,,,,,,,Purchased Under State Contract,,,USA,Yes,,,NYS,4 U SERVICES INC. DBA/ STELLER SERVICES,
1,,10018,0,NEW YORK,70 WEST 36TH STREET,02/12/2013,Livelink v10 Upgrade Consulting and Implementation,SUITE 702,13021-0100,NY,9,Consulting Services,,0,9,0,OPEN,02/12/2013,09/12/2013,,15000,Yes,15000,Authority Contract - Non-Competitive Bid,,Sole Source,USA,No,15000,Yes,NYS,4 U SERVICES INC. DBA/ STELLER SERVICES,No
19,,11780,0,SAINT JAMES,440 JERICHO TURNPIKE,01/01/2011,As Needed Routine Preventative Maintenance Services,,10051-0200,NY,10,Other,,,10,12134.94,OPEN,12/22/2010,12/31/2013,,,No,7865.06,Authority Contract - Competitive Bid,,,USA,No,20000,Yes,NYS,440 JERICHO TURNPIKE AUTO SALES LLC,No
8,,10019,0,NEW YORK,415W 54TH ST,01/01/2014,MTAPD/IG Prev. Fleet Maintenan,,13104-0300,NY,11,Other,,14,11,0,OPEN,12/19/2013,12/31/2017,,,Yes,15000,Authority Contract - Competitive Bid,,NYS/NYC/CountyContract,USA,No,15000,Yes,NYS,54TH STREET AUTO CENTER INC,Yes
