number_of_bids_or_proposals_received_prior_to_award_of_contract,explain_why_the_fair_market_value_is_less_than_the_contract_amount,postal_code,amount_expended_for_fiscal_year,city,address_line1,begin_date,procurement_description,address_line2,transaction_number,state,vendor_number,type_of_procurement,renewal_date,number_of_bids_and_proposal_received_from_mwbe_firms,page_number,amount_expended_for_life_to_date,status,award_date,end_date,province_region,fair_market_value,exemption_from_the_publication_requirements_of_article_4c_of_the_economic-development_law?,current_or_outstanding_balance,award_process,plus_4,"if_yes,_basis_for_exemption",country,is_the_vendor_a_minority_or_woman-owned_business_enterprise?,amount,does_the_contract_have_an_end_date,is_the_vendor_a_nys_or_foreign_business_enterprise?,vendor_name,were_mwbe_firms_solicited_as_part_of_this_procurement_proces
38,,08550,0,PRINCETON JUNCTION,186 PRINCETON-HIGHTSTOWN ROAD,01/01/2011,IT CONSULTING SERVICES,,11120-0100,NJ,2,Staffing Services,11/30/2011,3,2,0,OPEN,01/01/2011,12/30/2015,,,Yes,0,Authority Contract - Competitive Bid,,Ride/Piggyback of MTA Ags,USA,Yes,0,Yes,Foreign,"22ND CENTURY TECHNOLOGIES, INC",Yes
4,,11590,0,WESTBURY,110 SWALM STREET,08/10/2012,REPAIR OF MOTORS & PUMPS FOR NYCT BUSES MTA BUSES & LI BUSES,,0600000000000000000003356,NY,3,Design and Construction/Maintenance,,0,3,0,OPEN,08/09/2012,08/09/2015,,,No,161500,Authority Contract - Competitive Bid,,,USA,No,161500,Yes,NYS,"3D INDUSTRIAL SALES AND SERVICE, INC.",Yes
,,92673,833.6,SAN CLEMENTE,"930 CALLE NEGOCIO, SUITE #C",,Miscellaneous Parts and tools.,,,CA,4,Commodities/Supplies,,,4,,OPEN,,,,,,,Non Contract Procurement/Purchase Order,,,USA,No,,,,"4 STAR ELECTRONICS, INC.",
,,10018,0,NEW YORK,70 WEST 36TH STREET,,AS NEEDED COMPUTER CONSULTS,SUITE 702,08270-2000,NY,5,Consulting Services,,,5,,OPEN,,,,,,,Purchased Under State Contract,,,USA,Yes,,,NYS,"4 U SERVICES, INC. DBA/ STELLER SERVICES",
19,,11780,0,SAINT JAMES,440 JERICHO TURNPIKE,01/01/2011,As Needed Routine Preventative Maintenance Services,,10051-0200,NY,6,Other,,0,6,12134.94,OPEN,12/22/2010,12/31/2013,,,No,7865.06,Authority Contract - Competitive Bid,,,USA,No,20000,Yes,NYS,"440 JERICHO TURNPIKE AUTO SALES, LLC",No
13,,10019,785,NEW YORK,415W 54TH ST,03/22/2012,Collision Repair Services,,11044-1000,NY,7,Other,,0,7,785,OPEN,03/15/2012,03/21/2015,,,No,9215,Authority Contract - Competitive Bid,,,USA,No,10000,Yes,NYS,54TH STREET AUTO CENTER INC,No
12,,10019,845,NEW YORK,415W 54TH ST,12/05/2011,As Needed Towing Services for the MTA Police Departments Fleet of Vehicles,,10095-0100,NY,8,Other,11/29/2011,0,8,845,OPEN,11/29/2011,12/04/2014,,,No,2655,Authority Contract - Competitive Bid,,,USA,No,3500,Yes,NYS,54TH STREET AUTO CENTER INC,No
1,,85338,24587,GOODYEAR,"15655 W. ROOSEVELT ST, STE 109",03/13/2012,Locate 911,,4000017230,AZ,9,Technology - Hardware,,0,9,24587,OPEN,03/13/2012,03/13/2012,,24587,,0,Authority Contract - Non-Competitive Bid,,,USA,No,24587,Yes,NYS,"911 ETC, INC",No
5,,11219,12675,BROOKLYN,1366 60TH. STREET,07/21/2009,C608J9999 REUPHOLSTERY OF R142 R142A R143 TRAIN OPERATOR SEATS,,,NY,10,Other Professional Services,,0,10,57945,OPEN,07/20/2009,01/20/2013,,,No,29955,Authority Contract - Competitive Bid,,,USA,No,87900,Yes,NYS,"A & D AUTO UPHOLSTERY,INC.",Yes
3,,84130,76500,SALT LAKE CITY,P.O. BOX 30076,03/10/2011,SCREW SPIKE 1 DIA. X 5-1/8 LONG USED ON RESILIENT RAIL FASTENER PLATE AS SHOWN ON NYCT STANDARD,,0600000000000000000000184,UT,11,Commodities/Supplies,,0,11,290700,OPEN,03/10/2011,03/09/2012,,,Yes,0,Authority Contract - Competitive Bid,,Stock/QPL All vnd/Mnf/Aut,USA,No,290700,Yes,Foreign,A & K RAILROAD MATERIALS INC.,Yes
3,,84130,43760,SALT LAKE CITY,P.O. BOX 30076,03/10/2011,SCREW SPIKE 1ft. DIA. X 6ft. LONG. USED ON ft. Bft. AND ON ft. Dft. RAIL FASTENER PLATES AS SHOWN ON NYCT STAND,,0600000000000000000000185,UT,12,Commodities/Supplies,,0,12,130160,OPEN,03/10/2011,03/09/2012,,,Yes,0,Authority Contract - Competitive Bid,,Stock/QPL All vnd/Mnf/Aut,USA,No,130160,Yes,Foreign,A & K RAILROAD MATERIALS INC.,Yes
3,,84130,67001.6,SALT LAKE CITY,P.O. BOX 30076,03/09/2012,SCREW SPIKE 1 DIA. X 6 LONG RECTANGULAR HEAD HIGH STRENGTH SHALL CONFORM TO NYCT DRAWING MT-2325 BNR REV 1 AND STANDARD SPECIFICATION SECTIO,,0600000000000000000002325,UT,13,Commodities/Supplies,,0,13,67001.6,OPEN,03/09/2012,03/08/2013,,,Yes,62918.4,Authority Contract - Competitive Bid,,Stock/QPL All vnd/Mnf/Aut,USA,No,129920,Yes,Foreign,A & K RAILROAD MATERIALS INC.,Yes
1,,11101,16700,LONG ISLAND CITY,38-40 REVIEW AVE.,05/27/2010,C000936910 COST PER TRUCK LOAD PUMP TRUCK SERVICES DURING NORMAL BUSINESS HOURS (MON-FRI.8AM-5PM) IN ACCORDAN,,,NY,14,Other,,0,14,25850,OPEN,05/27/2010,05/26/2012,,,No,25,Authority Contract - Competitive Bid,,,USA,No,25875,Yes,NYS,A & L CESSPOOL SERVICE CORP.,Yes
